Exchange Current Density,Log10 ECD,reacting element,concentration (M),electrons transferred,Std Reduction Pot,Ionization energy (eV),Atomic radius,Atomic mass,Atomic volume cm3/mol),Dipole polarizability (au),Electron affinity (eV),Allen Electronegativity (eV),Ghosh Electronegativity,Pauling Electronegativity,Ionic radius (pm),Cohesive Energy (eV/atom),,,
5.25E-10,-9.279840697,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
1.38E-09,-8.860120914,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
1.51E-09,-8.821023053,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
2.51E-09,-8.600326279,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
7.08E-09,-8.149966742,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
1.98E-07,-6.70333481,Sb,0.1,3,0.212,8.608389,145,121.76,18.4,43,1.046,11.74,0.1918774,2.05,76,2.75,,,1
1.05E-07,-6.978810701,Sb,0.25,3,0.212,8.608389,145,121.76,18.4,43,1.046,11.74,0.1918774,2.05,76,2.75,,,1
7.40E-08,-7.13076828,Sb,0.5,3,0.212,8.608389,145,121.76,18.4,43,1.046,11.74,0.1918774,2.05,76,2.75,,,1
7.94E-09,-8.100179498,H,1,1,0,13.59843,25,1.008,14.1,4.50711,0.754195,13.61,0.2638,2.2,38,0,,,1
8.70E-05,-4.060480747,Sb,1,3,0.212,8.608389,145,121.76,18.4,43,1.046,11.74,0.1918774,2.05,76,2.75,,,1
,,,,,,,,,,,,,,,,,,,1
6.20E-06,-5.207608311,Bi,0.000046,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.00E-04,-4,Bi,0.02,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.70E-06,-5.431798276,Bi,0.000046,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
5.10E-04,-3.292429824,Bi,0.02,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
5.30E-06,-5.27572413,Bi,0.000046,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
9.30E-05,-4.031517051,Bi,0.02,2,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
4.40E-05,-4.356547324,Bi,0.000046,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
6.10E-05,-4.214670165,Bi,0.02,1,,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
7.20E-04,-3.142667504,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.50E-03,-2.602059991,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
9.40E-03,-2.026872146,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.00E+00,0,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.40E+00,0.380211242,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.00E-04,-3.522878745,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
3.70E-04,-3.431798276,Bi,1,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
2.80E-03,-2.552841969,Bi,0.001,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
1.61E-04,-3.793174124,Bi,0.002,3,0.317,7.285516,160,208.9804,21.3,48,0.942362,11.9,0.182377,1.9,96,2.18,,,1
